Name,Address,Latitude,Longitude,Price Level,Rating,User Rating Count
Betahaus | Coworking Barcelona,"Carrer de Vilafranca, 7, Gràcia, 08024 Barcelona, Spain",41.406983,2.1567651999999997,N/A,4.8,388
OneCoWork Plaça Catalunya | Barcelona Coworking,"Carrer d'Estruc, 9, Ciutat Vella, 08002 Barcelona, Spain",41.386886499999996,2.1725053,N/A,4.8,310
La Vaca Coworking Barcelona,"Carrer de la Creu dels Molers, 19, Sants-Montjuïc, 08004 Barcelona, Spain",41.3741099,2.1619429,N/A,4.8,185
MOB Bailén - Coworking in Barcelona,"Carrer de Bailèn, 11, L'Eixample, 08010 Barcelona, Spain",41.3917396,2.1771453,N/A,4.6,204
Kubik Barcelona,"Carrer de Luis Antúnez, 6, Gràcia, 08006 Barcelona, Spain",41.3987757,2.155823,N/A,4.7,48
Meet BCN - Coworking Space in Barcelona,"Rambla de Catalunya, 125, 3º 2ª, L'Eixample, 08008 Barcelona, Spain",41.394833899999995,2.1579685,N/A,4.8,59
The Office Coworking Barcelona,"Carrer Calàbria 149, entresol 1a, L'Eixample, 08015 Barcelona, Spain",41.3819284,2.1518547,N/A,4.7,27
Norrsken House Barcelona,"Passeig del Mare Nostrum, 15, Ciutat Vella, 08039 Barcelona, Spain",41.3688837,2.1889494,N/A,4.9,47
Cowork Rambla Catalunya - Coworking Barcelona,"Carrer de Còrsega, 284, 1 Pis, Eixample, 08008 Barcelona, Spain",41.394541499999995,2.1571173999999997,N/A,4.9,69
OneCoWork Catedral | Barcelona Coworking,"Av. de la Catedral, 6, Ciutat Vella, 08002 Barcelona, Spain",41.384990699999996,2.1767637,N/A,4.8,205
Coworking space Camaleó,"Carrer de Sant Pere Mitjà, 67, Ciutat Vella, 08003 Barcelona, Spain",41.3886355,2.1782502,N/A,4.7,212
Sitandplug,"Rambla de Catalunya, 79, 2o 2a, Eixample, 08007 Barcelona, Spain",41.391889299999995,2.1619234,N/A,4.9,45
"Coworking Sant Antoni Barcelona | Fix, Flex y Day Pass","Carrer de Floridablanca, 68, L'Eixample, 08015 Barcelona, Spain",41.3780247,2.1580196,N/A,5.0,56
Aticco Bailén - Coworking Eixample Dreta,"Carrer de Bailèn, 105, L'Eixample, 08009 Barcelona, Spain",41.397067500000006,2.170017,N/A,5.0,30
The Social Hub Coworking Barcelona Poblenou,"Carrer de Cristóbal de Moura, 49, Sant Martí, 08019 Barcelona, Spain",41.409976,2.204478,N/A,4.2,166
Barcelona Reial Coworking,"Reial Barcelona Coworking, La Rambla, 42, Ciutat Vella, 08002 Barcelona, Spain",41.3794378,2.1750553,N/A,4.4,11
Coworking Transforma bcn,"Carrer del Consell de Cent, 394, L'Eixample, 08009 Barcelona, Spain",41.395981,2.1727349,N/A,4.8,178
"Spaces - Barcelona, Spaces 22 Arroba","Carrer de Pallars, 193, Sant Martí, 08005 Barcelona, Spain",41.4011,2.19774,N/A,4.2,95
Wojo Coworking Barcelona Poblenou - Alquiler oficinas y salas de reuniones,"Carrer de Sancho de Ávila, 65, Sant Martí, 08018 Barcelona, Spain",41.3995176,2.1908933999999998,N/A,4.7,121
Sowo Coworking Barcelona,"Carrer del Consell de Cent, 413, 415, Principal 2ª, L'Eixample, 08009 Barcelona, Spain",41.3958582,2.1717358,N/A,4.7,61
